*wormbook
author	chapter	editor	book	publisher	date	issn	doi	url
Portman, Douglas S.	Profiling C. elegans gene expression with DNA microarrays	The C. elegans Research Community	WormBook	WormBook	January 20, 2006	1551-8507	10.1895/wormbook.1.104.1	http://www.wormbook.org
Pires da Silva, Andre	Pristionchus pacificus genetic protocols	The C. elegans Research Community	WormBook	WormBook	July 17, 2006	1551-8507	10.1895/wormbook.1.114.1	http://www.wormbook.org
Dieterich, Christoph//Roeseler, Waltraud//Srinivasan, Jagan	Pristionchus pacificus genomics: from genetics to genome sequence	The C. elegans Research Community	WormBook	WormBook	August 14, 2006	1551-8507	10.1895/wormbook.1.116.1	http://www.wormbook.org
Barriere, Antoine//Felix, Marie-Anne	Isolation of C. elegans and related nematodes	The C. elegans Research Community	WormBook	WormBook	July 17, 2006	1551-8507	10.1895/wormbook.1.115.1	http://www.wormbook.org
Cook, Alan//Franks, Christopher J.//Holden-Dye, Lindy	Electrophysiological recordings from the pharynx	The C. elegans Research Community	WormBook	WormBook	May 17, 2006	1551-8507	10.1895/wormbook.1.110.1	http://www.wormbook.org
Bianchi, Laura//Driscoll, Monica	Heterologous expression of C. elegans ion channels in Xenopus oocytes	The C. elegans Research Community	WormBook	WormBook	August 1, 2006	1551-8507	10.1895/wormbook.1.117.1	http://www.wormbook.org
Kerr, Rex A.	Imaging the activity of neurons and muscles	The C. elegans Research Community	WormBook	WormBook	June 2, 2006	1551-8507	10.1895/wormbook.1.113.1	http://www.wormbook.org
Schafer, William R.	Neurophysiological methods in C. elegans: an introduction	The C. elegans Research Community	WormBook	WormBook	June 2, 2006	1551-8507	10.1895/wormbook.1.111.1	http://www.wormbook.org
Ahringer (ed.), Julie	Reverse genetics	The C. elegans Research Community	WormBook	WormBook	April 6, 2006	1551-8507	10.1895/wormbook.1.47.1	http://www.wormbook.org
Evans (ed.), Thomas C.	Transformation and microinjection	The C. elegans Research Community	WormBook	WormBook	April 6, 2006	1551-8507	10.1895/wormbook.1.108.1	http://www.wormbook.org
